day, month, hour, weekend, publicHoliday, daysBeforeBooking, weatherCondition, occupancyRate, target_multiplier
 10,     4,    0,       0,             0,                 8,                2,          0.56,              0.6
 30,     7,   20,       0,             0,                 1,                0,          0.35,              1.31
  4,     7,   19,       0,             0,                30,                0,          0.19,              1.35
 14,     2,   19,       0,             0,                30,                0,          0.81,              1.62
 31,     1,    6,       0,             0,                19,                0,          0.99,              0.94
 16,     8,    8,       1,             0,                 1,                0,          0.57,              1.0
 15,     8,    7,       0,             0,                 7,                0,          0.91,              1.0
  8,     7,   12,       1,             0,                17,                0,          0.64,              0.99
 14,     8,   13,       0,             0,                23,                0,          0.57,              0.81
 23,     3,   11,       0,             0,                21,                1,          0.48,              0.8
 28,    11,    7,       0,             1,                 6,                2,          0.24,              0.78
 25,     2,   20,       0,             0,                10,                2,          0.08,              1.28
 30,     7,   21,       0,             0,                30,                0,          0.44,              1.32
  8,     8,   17,       0,             0,                28,                1,          0.56,              1.64
 21,     1,   15,       0,             0,                21,                2,          0.51,              0.6
 16,    12,   10,       0,             0,                29,                2,          0.7 ,              0.6
 13,    10,   15,       0,             0,                27,                2,          0.19,              0.6
 18,     9,   13,       1,             0,                24,                1,          0.35,              0.94
 15,    11,    2,       0,             1,                19,                0,          0.42,              0.9
 21,     4,   20,       1,             0,                 0,                0,          0.19,              1.65
 24,    12,    1,       0,             0,                24,                0,          0.91,              0.92
 26,     4,    2,       0,             0,                15,                0,          0.68,              0.77
 25,     3,    3,       0,             0,                15,                2,          0.09,              0.6
 28,     6,   21,       0,             0,                28,                0,          0.71,              1.41
 28,     1,    4,       1,             1,                 9,                2,          0.55,              0.66
 28,     6,    9,       0,             0,                23,                1,          0.52,              0.87
 13,     2,   19,       0,             0,                16,                0,          0.99,              1.7
  9,     9,    1,       0,             0,                28,                0,          0.62,              0.74
 29,     2,   11,       0,             0,                 9,                0,          0.9 ,              1.0
 15,     7,    4,       0,             0,                 5,                1,          0.91,              0.97
 13,    12,    4,       0,             0,                13,                1,          0.1 ,              0.81
  1,     1,   22,       0,             0,                25,                2,          0.01,              1.25
 25,    12,    0,       0,             0,                27,                0,          0.44,              0.82
  7,     7,    3,       0,             0,                27,                0,          0.77,              0.74
  9,     5,   20,       0,             0,                14,                0,          0.82,              1.77
 24,     8,   23,       0,             0,                 3,                0,          0.79,              1.33
  1,     4,   11,       0,             0,                30,                1,          0.45,              0.74
 12,    12,   11,       1,             1,                30,                0,          0.75,              0.88
  8,    10,   15,       0,             0,                26,                0,          0.72,              0.85
 24,     7,   23,       0,             0,                 1,                0,          0.31,              1.35
 31,     6,   16,       0,             0,                18,                0,          0.17,              1.43
 11,     5,   20,       0,             0,                27,                1,          0.62,              1.36
 19,     4,    9,       1,             0,                12,                0,          0.68,              0.89
 17,     7,   16,       0,             0,                11,                0,          0.57,              1.5
  8,    12,   16,       1,             0,                24,                1,          0.21,              1.58
  3,     5,   17,       0,             0,                20,                0,          0.28,              1.3
  3,     5,    1,       0,             0,                22,                1,          0.71,              0.73
  1,     1,    3,       0,             0,                30,                2,          0.96,              0.6
 27,     2,   18,       0,             0,                12,                1,          0.94,              1.69
  5,     5,   10,       0,             0,                14,                0,          0.52,              0.74
 10,     3,   16,       0,             0,                 1,                1,          0.89,              1.69
  7,     2,   11,       0,             1,                 7,                1,          0.03,              1.02
 26,     4,    1,       1,             0,                 2,                0,          0.86,              1.09
  9,     4,    5,       1,             1,                 0,                1,          0.48,              0.89
 28,     4,    8,       0,             0,                28,                0,          0.78,              0.83
  7,     4,    4,       0,             0,                23,                1,          0.01,              0.69
  9,     3,   19,       0,             0,                10,                0,          0.87,              1.52
  8,    12,   20,       1,             0,                26,                2,          0.59,              1.3
 12,     7,    8,       0,             0,                 8,                1,          0.24,              0.75
  2,     9,   22,       0,             1,                23,                0,          0.35,              1.62
  1,    12,    7,       0,             1,                16,                0,          0.2 ,              0.94
 16,     5,   19,       0,             0,                27,                0,          0.42,              1.54
 23,     4,    7,       1,             0,                 6,                0,          0.33,              0.99
 23,    11,   21,       1,             0,                22,                0,          0.53,              1.77
 30,     2,   20,       0,             0,                 3,                0,          0.81,              1.69
 24,     2,   22,       0,             0,                28,                0,          0.98,              1.79
  5,     5,    5,       0,             0,                28,                0,          0.25,              0.72
  3,     7,    2,       0,             0,                12,                0,          0.11,              0.74
 12,    10,    4,       0,             0,                27,                1,          0.4 ,              0.73
  8,    10,    8,       0,             0,                23,                0,          0.14,              0.8
 22,     9,    6,       1,             0,                 4,                0,          0.83,              1.11
 27,     7,    3,       1,             0,                28,                0,          0.5 ,              0.92
  3,     5,    6,       0,             0,                11,                0,          0.62,              0.74
  1,    10,    4,       0,             0,                19,                0,          0.15,              0.81
  3,    10,   10,       0,             0,                28,                0,          0.75,              0.72
  5,    10,   14,       1,             0,                 4,                0,          0.97,              1.18
 15,     6,    1,       1,             0,                10,                0,          0.48,              0.94
 14,    11,   12,       0,             0,                 1,                0,          0.96,              1.02
  3,    12,   21,       0,             0,                 3,                0,          0.03,              1.56
  1,     3,   15,       1,             0,                 9,                2,          0.04,              0.62
  5,     5,    6,       0,             0,                23,                1,          0.96,              0.92
 26,     8,    7,       0,             0,                 6,                2,          0.7 ,              0.6
 23,     1,    5,       0,             1,                11,                0,          0.19,              0.98
 31,    12,   23,       0,             0,                 7,                1,          0.36,              1.43
 14,     1,    6,       0,             0,                29,                2,          0.51,              0.6
  7,     7,   17,       0,             1,                22,                0,          0.7 ,              1.72
 27,     5,   21,       0,             0,                22,                1,          0.84,              1.77
  9,     5,   21,       1,             0,                26,                0,          0.08,              1.71
 15,     1,   19,       0,             0,                22,                0,          0.66,              1.36
 15,     9,    6,       0,             0,                15,                0,          0.48,              0.73
 26,     1,    2,       0,             0,                 1,                1,          0.6 ,              0.69
 10,     5,    4,       0,             0,                 2,                2,          0.51,              0.6
 28,    10,    0,       0,             0,                16,                0,          0.45,              0.79
 13,     9,   14,       0,             0,                14,                1,          0.21,              0.83
 19,     4,    2,       0,             0,                17,                0,          0.47,              0.81
 31,     8,    7,       1,             0,                 9,                0,          0.19,              1.05
  7,     6,    8,       1,             0,                21,                1,          0.04,              0.99
 17,    11,   14,       1,             0,                 1,                0,          0.37,              1.01
 20,     3,    9,       0,             0,                16,                0,          0.02,              0.79
 29,     4,    1,       0,             0,                30,                0,          0.56,              0.76
  4,     2,   19,       0,             0,                15,                1,          0.07,              1.54
 30,     1,    4,       1,             0,                23,                0,          0.44,              0.95
  5,     8,   18,       0,             0,                24,                2,          0.98,              1.33
 23,     1,   12,       1,             0,                 6,                1,          0.01,              1.04
  7,    11,   10,       0,             0,                18,                0,          0.37,              0.78
 13,     1,    0,       1,             0,                15,                0,          0.67,              0.96
 15,     4,   21,       1,             0,                 0,                2,          0.16,              1.47
 11,    10,   14,       0,             0,                 3,                1,          0.56,              0.83
 29,    12,   17,       1,             0,                12,                1,          0.26,              1.67
  4,    10,   15,       0,             0,                 9,                1,          0.22,              0.72
 13,     6,    8,       1,             0,                30,                0,          0.89,              1.15
  7,     9,    0,       1,             1,                10,                1,          0.2 ,              1.01
 27,     1,   10,       1,             0,                18,                1,          0.38,              1.04
 19,     7,    8,       0,             0,                14,                0,          0.17,              0.81
 22,    10,   22,       0,             0,                10,                2,          0.28,              1.16
 28,    11,   10,       1,             0,                 2,                0,          0.29,              1.06
  2,     5,   12,       1,             0,                 1,                0,          0.33,              1.0
 10,    12,    1,       0,             0,                10,                0,          0.64,              0.73
 13,     8,   13,       0,             0,                 9,                1,          0.74,              0.75
 30,     7,    5,       0,             0,                 2,                0,          0.51,              0.75
 25,     4,    7,       1,             0,                26,                0,          0.61,              1.04
 21,     4,   17,       1,             0,                 4,                2,          0.81,              1.42
  6,     6,   15,       0,             0,                14,                0,          1.0 ,              1.06
 28,     6,   20,       0,             0,                 3,                0,          0.46,              1.55
 28,     9,   11,       0,             0,                16,                0,          0.94,              0.96
 12,    12,   10,       0,             0,                 0,                0,          0.49,              0.77
 12,     5,    5,       1,             0,                 0,                0,          0.78,              0.91
 20,     8,    2,       0,             0,                11,                0,          0.57,              0.83
 30,     5,   13,       0,             0,                 9,                0,          0.88,              0.9
 30,     2,    1,       1,             0,                 8,                2,          0.45,              0.66
 11,     6,   10,       0,             1,                 8,                0,          0.7 ,              0.99
 26,     9,   21,       0,             1,                24,                1,          0.47,              1.55
 23,     3,    2,       1,             0,                30,                0,          0.86,              1.17
 28,     1,   17,       0,             0,                25,                0,          0.99,              1.72
 25,     1,    0,       1,             0,                19,                0,          0.24,              0.95
  7,     3,   23,       0,             0,                19,                0,          0.47,              1.51
 30,    10,    0,       1,             1,                29,                0,          0.08,              0.93
  1,     5,   11,       0,             0,                13,                0,          0.14,              0.82
  1,     3,   14,       0,             0,                25,                2,          0.93,              0.64
 25,     9,    4,       0,             0,                22,                1,          0.54,              0.77
 27,     8,    5,       1,             0,                28,                0,          0.4 ,              0.92
 30,     3,   15,       1,             0,                18,                0,          0.67,              0.91
 25,     9,   11,       0,             0,                 9,                0,          0.56,              0.73
 20,     6,   11,       0,             0,                 2,                0,          0.29,              0.82
 13,     7,    2,       0,             0,                19,                1,          0.23,              0.81
  9,     4,   22,       0,             1,                26,                2,          0.59,              1.22
  3,     4,    1,       1,             1,                21,                0,          0.19,              1.05
  7,    12,    6,       0,             0,                16,                0,          0.14,              0.82
  6,     2,    1,       1,             0,                26,                0,          0.32,              0.97
  8,     5,   20,       1,             0,                29,                1,          0.86,              1.73
 27,     8,    6,       0,             0,                 2,                0,          0.04,              0.72
  9,     7,   10,       1,             0,                11,                2,          0.83,              0.85
 30,     7,   10,       0,             0,                14,                1,          0.62,              0.88
  5,     6,   13,       0,             0,                30,                2,          0.04,              0.6
  1,     3,    2,       1,             0,                 4,                0,          0.6 ,              1.04
 19,     5,   13,       0,             0,                26,                1,          0.43,              0.7
 10,     1,   10,       0,             0,                14,                1,          0.84,              0.9
 12,     7,    3,       1,             0,                19,                1,          0.91,              1.14
 24,     9,   16,       0,             0,                23,                0,          0.29,              1.53
 15,     1,   15,       0,             1,                15,                2,          0.78,              0.68
 27,     2,    2,       1,             0,                 8,                2,          0.31,              0.67
 22,     3,    9,       0,             0,                 7,                0,          0.3 ,              0.72
 24,     3,   20,       1,             0,                10,                0,          0.19,              1.69
  9,     8,   14,       0,             0,                26,                0,          0.68,              0.83
 20,     7,    7,       0,             0,                 8,                2,          0.26,              0.6
 17,     6,   17,       1,             0,                15,                1,          0.46,              1.54
 30,    10,    2,       0,             0,                13,                0,          0.81,              1.03
 17,    10,    6,       1,             0,                14,                0,          0.79,              0.95
 26,    11,    9,       1,             0,                29,                0,          0.86,              1.24
 20,     4,   19,       1,             0,                13,                0,          0.16,              1.77
 12,     9,    8,       0,             0,                23,                0,          0.59,              0.76
 30,     1,   13,       0,             1,                 9,                1,          0.91,              1.12
  7,    11,   22,       1,             0,                12,                1,          0.04,              1.67
  2,     2,   13,       0,             0,                 0,                0,          0.79,              0.66
  3,     4,   10,       0,             0,                22,                1,          0.25,              0.67
 17,     3,    0,       0,             0,                29,                0,          0.67,              0.89
  5,     1,    3,       0,             0,                 8,                0,          0.72,              0.71
 17,     5,    5,       0,             0,                16,                1,          0.93,              0.94
 24,     7,   21,       1,             0,                25,                0,          0.51,              1.78
 17,     2,   21,       0,             0,                16,                0,          0.85,              1.82
 27,     5,    4,       0,             0,                 9,                0,          0.05,              0.69
 17,     6,    2,       1,             0,                12,                1,          0.42,              1.01
  2,    11,    1,       0,             0,                17,                1,          0.44,              0.79
  2,     7,    2,       1,             0,                12,                0,          0.54,              0.93
 28,     1,    8,       0,             0,                20,                0,          0.48,              0.76
 22,     7,   18,       1,             1,                28,                1,          0.97,              1.8
 23,     4,   18,       0,             0,                27,                0,          0.08,              1.27
  5,     8,   16,       1,             0,                23,                0,          0.27,              1.64
  1,     4,   17,       0,             1,                12,                0,          0.97,              1.67
  1,     6,   10,       0,             1,                23,                2,          0.45,              0.64
 19,     9,   11,       0,             0,                 9,                1,          0.57,              0.78
 30,     5,    2,       1,             0,                19,                1,          0.08,              0.92
  2,    12,   17,       0,             0,                 6,                1,          0.28,              1.54
 21,     4,   23,       0,             0,                 6,                0,          0.04,              1.61
 12,     8,    5,       0,             0,                 8,                0,          0.14,              0.69
 26,     9,    6,       0,             0,                15,                1,          0.63,              0.78
  6,     4,    0,       0,             0,                14,                0,          0.76,              0.77
 23,     3,    5,       1,             1,                24,                1,          0.87,              1.22
  4,     8,   17,       1,             0,                 2,                0,          0.25,              1.59
 23,     5,   12,       1,             0,                12,                0,          0.33,              0.9
 11,     2,   21,       1,             0,                30,                1,          0.57,              1.66
 24,    10,   18,       0,             0,                10,                0,          0.08,              1.35
 27,     9,    6,       1,             0,                 7,                0,          0.81,              1.21
 17,     3,   18,       0,             0,                20,                0,          0.48,              1.47
 31,    12,    8,       1,             0,                30,                1,          0.97,              1.23
  6,     2,    2,       0,             0,                20,                0,          0.12,              0.82
 24,     1,   22,       1,             0,                23,                0,          0.13,              1.72
  5,     8,   11,       0,             0,                30,                0,          0.35,              0.88
 20,    11,   19,       0,             1,                 5,                0,          0.21,              1.7
  2,     3,   23,       0,             0,                 9,                1,          0.7 ,              1.4
  6,     7,   17,       0,             0,                25,                0,          0.95,              1.57
 22,     1,    7,       0,             0,                16,                2,          0.09,              0.6
 11,     1,    8,       1,             0,                19,                1,          0.24,              0.94
 31,    12,   12,       1,             0,                 8,                0,          0.24,              1.02
 16,     9,    7,       0,             0,                20,                2,          0.51,              0.6
 16,    12,   21,       0,             0,                13,                1,          0.45,              1.54
  1,     8,    9,       0,             0,                19,                2,          0.73,              0.6
  9,    12,   16,       1,             0,                26,                0,          0.73,              1.62
 28,     3,    6,       0,             0,                12,                0,          0.57,              0.69
 27,     6,   16,       0,             1,                25,                0,          0.59,              1.48
  6,    11,   22,       0,             0,                 0,                0,          0.84,              1.69
 16,     3,   17,       0,             0,                24,                2,          0.4 ,              1.26
 29,    12,   23,       0,             0,                23,                1,          0.01,              1.43
  3,     4,    1,       0,             0,                18,                1,          0.21,              0.81
 20,     1,    2,       0,             0,                 8,                2,          0.04,              0.6
 28,     5,   18,       0,             0,                16,                2,          0.39,              1.29
 27,     1,    0,       0,             0,                14,                0,          0.36,              0.8
  4,     1,   20,       0,             0,                19,                1,          0.1 ,              1.35
 19,    10,   20,       0,             0,                 4,                1,          0.76,              1.32
 26,    11,    9,       0,             0,                 3,                0,          0.55,              0.72
  3,    11,   20,       0,             0,                 3,                2,          0.23,              1.1
 31,     7,   13,       1,             0,                24,                2,          0.76,              0.68
 19,    12,   12,       0,             0,                14,                1,          0.67,              0.83
 20,     6,    8,       1,             0,                 4,                0,          0.19,              0.97
  7,     2,    5,       0,             0,                16,                1,          0.98,              1.04
 20,    11,    5,       0,             1,                29,                0,          0.18,              0.96
  9,    12,   18,       0,             0,                 6,                0,          0.77,              1.59
  1,     2,   20,       0,             0,                 5,                0,          0.97,              1.78
  8,    11,    9,       0,             0,                14,                0,          0.73,              0.7
  7,     7,   22,       1,             0,                24,                0,          0.67,              1.72
 18,     1,    2,       1,             1,                19,                1,          0.9 ,              1.2
  8,     2,   17,       0,             1,                13,                0,          0.27,              1.65
  1,    12,   20,       0,             0,                 9,                1,          0.28,              1.62
 11,     8,   18,       0,             0,                 5,                0,          0.64,              1.57
 28,     6,    4,       0,             0,                 9,                0,          0.88,              0.95
 25,     2,   10,       1,             0,                22,                1,          0.62,              0.95
 25,     7,    9,       0,             0,                19,                1,          0.98,              0.98
 18,     4,   16,       1,             0,                27,                1,          0.22,              1.66
 23,     2,    3,       0,             0,                 8,                0,          0.83,              1.05
 31,    12,   20,       0,             1,                12,                0,          0.93,              1.91
 30,     6,   17,       0,             0,                13,                1,          0.43,              1.6
 10,    11,   17,       0,             0,                 0,                0,          0.96,              1.61
  3,     9,    0,       0,             0,                 0,                0,          0.2 ,              0.78
  7,    11,   13,       0,             0,                18,                0,          0.95,              1.02
 28,     9,    7,       0,             0,                 8,                0,          0.9 ,              0.95
 16,     8,    1,       0,             0,                 4,                0,          0.07,              0.8
 26,     3,   18,       0,             0,                16,                0,          0.52,              1.39
 16,     3,   14,       0,             0,                15,                0,          0.53,              0.88
 25,     2,    1,       0,             0,                11,                1,          0.06,              0.75
 20,     5,    3,       1,             0,                 4,                0,          0.04,              1.05
 28,    12,    0,       0,             0,                 5,                2,          0.01,              0.6
 17,     4,   18,       0,             0,                19,                0,          0.52,              1.39
  2,     7,   20,       0,             0,                22,                0,          0.46,              1.39
  1,     4,    9,       1,             0,                10,                0,          0.94,              1.18
 16,     9,    0,       0,             0,                18,                1,          0.34,              0.78
 30,    12,   19,       0,             0,                20,                1,          0.66,              1.37
 12,    12,   21,       0,             0,                 5,                1,          0.01,              1.45
  5,     2,   14,       1,             0,                22,                2,          0.66,              0.76
  5,    11,    3,       0,             0,                 9,                1,          0.91,              0.93
 27,     6,    6,       0,             0,                14,                2,          0.35,              0.6
 23,     7,    6,       0,             0,                17,                0,          0.31,              0.88
  9,     4,   21,       0,             0,                20,                0,          0.63,              1.47
  9,     6,   17,       1,             0,                28,                0,          0.33,              1.7
  3,     7,   12,       0,             0,                 6,                1,          0.4 ,              0.86
 19,     4,    9,       1,             0,                22,                0,          0.27,              0.94
 16,     8,   23,       0,             0,                27,                1,          0.34,              1.43
 16,     9,    7,       0,             1,                 2,                0,          0.68,              0.88
  3,     1,    9,       1,             0,                23,                0,          0.92,              1.07
 20,     7,   13,       0,             0,                15,                0,          0.58,              0.74
 24,     9,   13,       0,             0,                12,                0,          0.01,              0.71
 22,    12,   19,       0,             0,                16,                0,          0.26,              1.5
 24,    10,   21,       1,             0,                 3,                0,          0.95,              1.81
  1,     5,   10,       0,             0,                18,                0,          0.91,              1.06
 24,    12,    5,       1,             0,                 3,                1,          0.12,              1.0
 20,     2,   20,       0,             0,                26,                0,          0.91,              1.6
 11,    10,    0,       1,             0,                24,                0,          0.96,              1.22
 17,     6,   18,       0,             1,                26,                0,          0.32,              1.56
  8,    12,    6,       0,             0,                11,                2,          0.7 ,              0.6
  4,    12,   23,       0,             0,                30,                0,          0.56,              1.34
  6,     7,   17,       1,             0,                23,                2,          0.34,              1.35
  8,     2,    2,       1,             0,                26,                0,          0.15,              1.01
 20,     2,   19,       0,             1,                 3,                2,          0.37,              1.49
 30,    10,   10,       0,             0,                28,                0,          0.93,              1.03
  3,    12,    4,       0,             0,                23,                0,          0.81,              1.04
 16,    10,   18,       0,             0,                16,                1,          0.33,              1.57
 30,     1,   20,       0,             0,                27,                2,          0.55,              1.13
 25,     4,   23,       0,             0,                23,                1,          0.41,              1.35
  3,     7,   23,       0,             0,                25,                1,          0.47,              1.38
 25,     9,    1,       0,             0,                17,                0,          0.76,              0.79
 29,     3,   21,       1,             0,                21,                0,          0.54,              1.58
